Date,Miles
7/4/14,43.5
7/5/14,1.85
7/10/14,80.75
7/15/14,6.2
7/16/14,0.3
7/22/14,1.9
7/25/14,37.3
8/3/14,4.55
8/4/14,61.3
8/9/14,47.95
8/11/14,48.85
8/11/14,59.6
8/14/14,55.8
8/14/14,78.95
8/15/14,62.6
8/16/14,28.25
8/18/14,61.05
8/18/14,62
8/19/14,58.6
8/21/14,62.15
8/24/14,21.3
8/26/14,25.6
8/28/14,23
9/1/14,71.85
9/2/14,35.1
9/6/14,24.25
9/8/14,83.65
9/9/14,74.8
9/11/14,7.65
9/18/14,79.7
9/19/14,52.25
9/20/14,14.75
9/20/14,41.7
9/22/14,72.55
9/22/14,96.55
9/23/14,98.9
9/27/14,36.3
9/27/14,54.25
9/29/14,83.25
9/29/14,20.8
9/30/14,64.4
10/4/14,77.85
10/7/14,62.2
10/14/14,83.7
10/15/14,29.4
10/16/14,54.15
10/22/14,36.45
10/22/14,52.5
10/25/14,24.1
10/27/14,53.8
11/1/14,63.8
11/6/14,18.25
11/6/14,45.35
11/7/14,33.75
11/8/14,45.1
11/17/14,87.35
11/17/14,8.7
11/18/14,16.7
11/20/14,25.15
11/22/14,15.5
11/23/14,59.15
11/24/14,17.25
11/26/14,57.4
11/28/14,10.4
12/1/14,99.35
12/1/14,40.7
12/2/14,63.95
12/2/14,7.7
12/3/14,64.5
12/4/14,47.55
12/6/14,57.9
12/7/14,59.55
12/7/14,70.4
12/8/14,75.85
12/12/14,17.2
12/12/14,48.1
12/14/14,69.4
12/15/14,84.85
12/17/14,87.9
12/17/14,50.4
12/17/14,85.6
12/19/14,53.8
12/24/14,45.8
12/25/14,73.2
12/26/14,26.2
1/1/15,33.5
1/7/15,37.35
1/12/15,79.15
1/15/15,86.8
1/17/15,77.7
1/18/15,84.45
1/19/15,99.25
1/22/15,93.75
1/24/15,23.9
1/24/15,94.8
1/27/15,29.9
1/30/15,72.95
2/3/15,92.25
2/5/15,8.2
2/9/15,15.9
2/12/15,48.9
2/12/15,46.05
2/13/15,41.45
2/13/15,68.35
2/17/15,62.65
2/18/15,17.15
2/20/15,86.1
2/20/15,64.9
2/24/15,29.05
2/25/15,45.45
2/27/15,42.5
2/27/15,27.55
2/27/15,23.05
2/28/15,65.55
2/28/15,77.45
2/28/15,73.65
3/2/15,19.05
3/3/15,64.55
3/6/15,45.15
3/6/15,0.75
3/8/15,85.85
3/9/15,27.35
3/16/15,69.55
3/18/15,24.65
3/21/15,84.9
3/22/15,38.65
3/27/15,81.85
3/30/15,2.95
4/1/15,6.85
4/2/15,24.15
4/3/15,71.35
4/5/15,59
4/7/15,88.2
4/9/15,85.2
4/9/15,11
4/9/15,36.2
4/11/15,84.55
4/12/15,35.85
4/14/15,7.45
4/14/15,10.95
4/16/15,81.2
4/17/15,41.95
4/17/15,57.95
4/20/15,55.55
4/20/15,41.85
4/21/15,61.55
4/27/15,35.35
4/29/15,59.35
4/30/15,33.55
4/30/15,75.65
5/1/15,35.15
5/2/15,43.7
5/3/15,97.45
5/4/15,64.7
5/6/15,91.35
5/7/15,77.2
5/9/15,76.1
5/10/15,1.1
5/10/15,27.4
5/14/15,30.15
5/16/15,25.35
5/17/15,30.2
5/18/15,2.9
5/18/15,42.05
5/19/15,38.6
5/20/15,75.8
5/21/15,19.7
5/21/15,99.45
5/22/15,46.25
5/22/15,72.25
5/23/15,8.75
5/27/15,97.2
5/27/15,3.9
5/30/15,23.4
6/1/15,11.95
6/2/15,79.5
6/2/15,51.6
6/5/15,68.65
6/6/15,91.3
6/9/15,84.15
6/13/15,9.05
6/14/15,27.2
6/16/15,74.65
6/16/15,31.35
6/17/15,58.9
6/21/15,59.3
6/21/15,65.55
6/25/15,97.85
6/25/15,42.65
6/27/15,24.9
6/27/15,50.95
6/28/15,1.4
6/29/15,14.3
6/30/15,49
7/1/15,80.15
7/4/15,64.1
7/6/15,35.8
7/6/15,50.35
7/7/15,32.8
7/7/15,57.7
7/8/15,32.95
7/9/15,26.7
7/9/15,77.85
7/9/15,11.65
7/11/15,66.15
7/13/15,84.25
7/16/15,43.85
7/18/15,47.6
7/20/15,0.95
7/26/15,97
7/30/15,65.5
7/31/15,24.95
8/1/15,67.5
8/2/15,18.2
8/2/15,3.8
8/5/15,5.7
8/6/15,48.05
8/9/15,81.65
8/10/15,34
8/10/15,87.15
8/12/15,36.1
8/14/15,34.8
8/16/15,75.45
8/21/15,63.75
8/23/15,33.6
8/23/15,29.8
8/25/15,95.75
8/26/15,39.4
8/29/15,5
8/31/15,39.4
8/31/15,35.2
8/31/15,96.45
9/2/15,87.95
9/5/15,63.4
9/10/15,74.6
9/11/15,34.45
9/11/15,27.9
9/11/15,95.95
9/12/15,90.4
9/13/15,24.8
9/13/15,59.95
9/17/15,90.45
9/20/15,77.6
9/22/15,71.45
9/25/15,71
9/26/15,63.55
9/27/15,78.4
9/27/15,0.45
9/28/15,41.7
9/28/15,74.1
9/30/15,97.15
10/1/15,14.15
10/2/15,71.45
10/3/15,95.75
10/4/15,64.15
10/6/15,80.65
10/7/15,95.55
10/9/15,9.25
10/11/15,60.35
10/13/15,50.7
10/13/15,32.65
10/14/15,41.6
10/16/15,34
10/16/15,40.55
10/16/15,17.35
10/19/15,64.95
10/20/15,15.75
10/24/15,85.7
10/26/15,37.1
10/26/15,26.75
10/29/15,18.2
10/30/15,75.3
11/1/15,12.8
11/3/15,93.25
11/4/15,33.85
11/6/15,10.8
11/6/15,82.45
11/7/15,26.15
11/7/15,3.1
11/8/15,44.25
11/10/15,0.8
11/11/15,68.75
11/11/15,33.85
11/13/15,30
11/14/15,25.55
11/15/15,25.5
11/17/15,6.9
11/18/15,43.5
11/18/15,92.2
11/20/15,45.6
11/21/15,8.3
11/23/15,12.8
11/23/15,62.9
11/24/15,48.75
11/25/15,3.55
11/27/15,2.4
12/1/15,13.45
12/1/15,59.85
12/1/15,5
12/4/15,16.65
12/5/15,60.25
12/7/15,85.8
12/7/15,78.55
12/11/15,18.75
12/13/15,50.05
12/15/15,45.6
12/16/15,59.5
12/18/15,57
12/19/15,50.35
12/19/15,73.25
12/21/15,21.4
12/22/15,34.3
12/24/15,10
12/25/15,50.5
12/26/15,90.8
12/28/15,69.35
12/31/15,2.85
1/7/16,56.05
1/9/16,59.6
1/11/16,34.3
1/13/16,72.45
1/13/16,77
1/13/16,18.05
1/15/16,43.05
1/16/16,84.65
1/17/16,50.85
1/19/16,67.5
1/23/16,32.65
1/24/16,61.75
1/26/16,62.3
1/26/16,49.75
1/28/16,44.1
1/30/16,70.75
2/1/16,76.3
2/2/16,40.35
2/4/16,82.55
2/11/16,52.85
2/14/16,58.05
2/15/16,13.35
2/16/16,38.75
2/17/16,38.5
2/17/16,76.2
2/17/16,96.35
2/18/16,95
2/23/16,87.4
2/25/16,92.5
2/27/16,16.9
2/29/16,52.45
3/3/16,69.6
3/9/16,56.7
3/15/16,98.1
3/18/16,51.5
3/21/16,97.05
3/22/16,98.4
3/28/16,82.25
3/31/16,95.05
4/1/16,78.55
4/6/16,2
4/8/16,16.85
4/9/16,98.5
4/10/16,47.85
4/15/16,66.55
4/17/16,95.25
4/19/16,90.65
4/19/16,34.35
4/21/16,37.95
4/23/16,73.35
4/25/16,3.85
4/26/16,55
5/1/16,73.85
5/2/16,84.6
5/3/16,71
5/6/16,54.55
5/6/16,83.45
5/7/16,33.85
5/9/16,76.8
5/12/16,63.45
5/12/16,85.05
5/14/16,3.5
5/18/16,3.1
5/19/16,14.1
5/20/16,20.8
5/21/16,50.3
5/23/16,33.6
5/26/16,42.9
5/26/16,83.6
5/26/16,43.6
5/28/16,8
5/29/16,39.15
5/30/16,14
5/31/16,45.45
6/1/16,20.45
6/1/16,40.7
6/2/16,57.05
6/3/16,28.85
6/4/16,85.15
6/5/16,46.6
6/6/16,25.35
6/6/16,20.65
6/7/16,98.85
6/7/16,89.65
6/9/16,2.25
6/9/16,32.75
6/13/16,86.45
6/16/16,98.5
6/16/16,49.35
6/17/16,58.05
6/19/16,6.9
7/2/16,4.6
7/2/16,59.05
7/6/16,29.45
7/6/16,45.1
7/7/16,16.7
7/11/16,1.5
7/11/16,3.15
7/12/16,90
7/17/16,2.25
7/20/16,49.05
7/21/16,30.45
7/29/16,84.3
8/5/16,32.4
8/6/16,17.75
8/8/16,53.35
8/9/16,49.05
8/10/16,40.1
8/16/16,24.65
8/18/16,66.5
8/20/16,86.75
8/22/16,71.2
8/22/16,91.35
8/23/16,56.3
8/23/16,7.95
8/25/16,74.85
8/28/16,98.15
8/31/16,64.45
9/4/16,72.8
9/5/16,18
9/9/16,86.25
9/9/16,32.7
9/11/16,85.8
9/13/16,94.05
9/14/16,99.35
9/18/16,24.6
9/18/16,66.15
9/18/16,28.2
9/24/16,71
9/25/16,20.85
9/26/16,20.55
9/29/16,97.2
9/29/16,69.85
9/29/16,43.65
9/30/16,32.45
10/5/16,54.6
10/6/16,52.8
10/9/16,84.8
10/10/16,90.65
10/12/16,67.75
10/13/16,98.6
10/16/16,62.65
10/17/16,71.05
10/18/16,19.7
10/20/16,41.55
10/20/16,20.65
10/22/16,91
10/25/16,11.5
10/26/16,83.75
11/2/16,68.75
11/5/16,94.85
11/14/16,56.05
11/16/16,33.55
11/18/16,92.3
11/22/16,50.6
11/24/16,66.9
11/25/16,61.1
11/25/16,23.2
11/26/16,27.2
11/27/16,29.95
12/3/16,39
12/5/16,85.5
12/7/16,63.75
12/12/16,46.5
12/13/16,39.05
12/15/16,74.1
12/18/16,53.65
12/18/16,93.5
12/23/16,47.05
12/24/16,73.5
12/31/16,77.5
1/1/17,59.75
1/2/17,0.55
1/5/17,72.65
1/9/17,53.5
1/10/17,72.25
1/11/17,46.5
1/14/17,87.5
1/15/17,44.6
1/15/17,22.65
1/17/17,54.4
1/20/17,72.55
1/20/17,61.1
1/23/17,21.35
1/23/17,81.85
1/27/17,21.15
1/27/17,76.25
1/29/17,24
1/30/17,54.25
2/1/17,99.45
2/1/17,27.2
2/3/17,53.65
2/3/17,46.15
2/4/17,76.2
2/6/17,4
2/7/17,18.55
2/9/17,37.75
2/11/17,42.8
2/14/17,56
2/15/17,78.45
2/16/17,35.5
2/18/17,6.75
2/19/17,88.4
2/22/17,23.65
2/23/17,90.75
2/23/17,85.1
2/24/17,80.35
2/24/17,57.25
3/1/17,47.45
3/1/17,64.75
3/2/17,25.65
3/2/17,52.7
3/6/17,24.2
3/6/17,6.65
3/7/17,83.3
3/9/17,12.4
3/9/17,42.45
3/11/17,25.25
3/12/17,46.25
3/17/17,90.9
3/17/17,93.2
3/18/17,42.7
3/19/17,91.95
3/20/17,30.8
3/20/17,61.65
3/21/17,12.25
3/22/17,0.9
3/23/17,22.85
3/25/17,39.9
3/25/17,49.65
3/27/17,28.45
4/5/17,87.35
4/7/17,2.4
4/11/17,15.95
4/13/17,18.3
4/13/17,73.95
4/14/17,43.3
4/16/17,76.05
4/16/17,66.9
4/17/17,21.8
4/17/17,52.7
4/23/17,21.25
4/28/17,46.75
4/29/17,44.3
4/29/17,63.6
4/30/17,15.5
5/7/17,41
5/11/17,6.55
5/21/17,2.3
5/21/17,33
5/26/17,40.3
5/26/17,26.65
5/27/17,21.85
5/27/17,3.05
5/27/17,8
5/27/17,32.9
5/30/17,33.2
6/4/17,93.35
6/4/17,12.35
6/5/17,68
6/11/17,96.4
6/12/17,76.85
6/12/17,43.95
6/13/17,16.35
6/14/17,59.4
6/15/17,92.35
6/16/17,69.45
6/16/17,55.45
6/19/17,25.75
6/20/17,73.55
6/25/17,63.85
6/29/17,35
7/2/17,76.2
7/2/17,87.5
7/3/17,60.55
7/6/17,60.6
7/7/17,33.05
7/9/17,58.65
7/10/17,12.6
7/10/17,56.05
7/17/17,99
7/18/17,25.85
7/19/17,0.75
7/21/17,65.05
7/24/17,94.15
7/25/17,5.7
7/26/17,99.55
7/26/17,26.45
8/1/17,56.4
8/4/17,52.95
8/7/17,74.4
8/7/17,13.8
8/9/17,33.95
8/15/17,80.1
8/22/17,96.5
8/23/17,90.05
8/26/17,14.15
8/26/17,18.85
8/27/17,97.25
8/28/17,11.75
8/29/17,14.6
8/29/17,96.4
9/2/17,24.15
9/7/17,69.2
9/8/17,24.8
9/11/17,14.95
9/12/17,97.75
9/14/17,38.1
9/15/17,44.15
9/17/17,93.8
9/18/17,61.1
9/19/17,23.35
9/21/17,96.7
9/25/17,55.45
9/30/17,56.5
10/1/17,46.2
10/2/17,18.5
10/4/17,20
10/4/17,1.4
10/5/17,14
10/9/17,48.25
10/10/17,81
10/10/17,34.4
10/10/17,79.95
10/12/17,31.95
10/16/17,65.45
10/18/17,25.15
10/22/17,88.95
10/22/17,79.35
10/27/17,67.5
10/28/17,56.3
10/31/17,72.7
11/1/17,52
11/2/17,96.85
11/3/17,21.15
11/4/17,72.5
11/4/17,34.8
11/8/17,34.45
11/16/17,52.05
11/18/17,38.55
11/19/17,39.1
11/19/17,51.3
11/22/17,79.95
11/28/17,47.65
11/28/17,80.45
12/4/17,31.15
12/5/17,59.4
12/5/17,68.8
12/9/17,46.45
12/13/17,50.8
12/13/17,86.8
12/16/17,91.65
12/17/17,94.55
12/18/17,99.1
12/21/17,71
12/21/17,41.8
12/22/17,57.05
12/22/17,89.9
12/26/17,19.5
12/29/17,50.65
12/30/17,25.85
1/4/18,36.55
1/4/18,37.25
1/7/18,96.6
1/8/18,78.9
1/9/18,46.2
1/9/18,40.65
1/11/18,65.55
1/11/18,90.15
1/11/18,62.05
1/11/18,95.05
1/13/18,14.65
1/13/18,26
1/14/18,47.9
1/15/18,62.25
1/18/18,25
1/21/18,23.55
1/21/18,73.15
1/25/18,41.4
1/27/18,57.2
1/27/18,36.55
1/27/18,58.4
1/29/18,7.1
1/29/18,29.55
2/2/18,90.15
2/3/18,29.3
2/6/18,71.35
2/7/18,65.4
2/9/18,25.3
2/11/18,19.65
2/13/18,52.8
2/14/18,42.3
2/14/18,43.9
2/16/18,17.4
2/18/18,72.9
2/19/18,64.95
2/23/18,51.8
2/26/18,38.4
2/26/18,79.25
2/27/18,73.45
3/2/18,18.35
3/3/18,24.8
3/4/18,14.6
3/8/18,46.3
3/10/18,4.1
3/10/18,25.55
3/11/18,43.7
3/14/18,67.3
3/14/18,22.9
3/15/18,19.3
3/21/18,99.4
3/22/18,92.2
3/22/18,79.45
3/22/18,66.1
3/23/18,74.1
3/23/18,16.6
3/24/18,85.7
3/26/18,1.7
3/28/18,95.65
3/31/18,52.75
4/2/18,69.4
4/4/18,83.45
4/5/18,91.05
4/7/18,9.7
4/9/18,38.65
4/10/18,33.3
4/12/18,58.8
4/13/18,42.6
4/13/18,73.15
4/20/18,54.15
4/20/18,80.05
4/26/18,16.1
4/26/18,11.25
4/27/18,6.3
4/29/18,90.55
4/30/18,60.45
5/2/18,16.8
5/4/18,19.75
5/5/18,41.65
5/8/18,70.8
5/8/18,44.8
5/9/18,52.8
5/11/18,6.75
5/11/18,84.1
5/12/18,2.05
5/17/18,50.35
5/19/18,45.35
5/20/18,72.15
5/21/18,5.1
5/26/18,1.6
5/26/18,72.7
5/27/18,79.75
5/28/18,20.4
5/28/18,44.55
5/28/18,67.4
5/29/18,37.45
5/30/18,68.35
6/1/18,61.1
6/2/18,46.2
6/3/18,37.05
6/5/18,62.45
6/5/18,9.65
6/8/18,82
6/11/18,78.35
6/12/18,59.7
6/14/18,79.1
6/15/18,70.1
6/15/18,56.5
6/15/18,37.75
6/17/18,95
6/20/18,83.15
6/22/18,86.35
6/22/18,4.95
6/24/18,52.25
6/27/18,71.3
6/28/18,51.2
6/30/18,27.75
7/1/18,14.45
7/3/18,98.55
7/4/18,79.2
7/7/18,13.8
7/9/18,22.6
7/10/18,51.55
7/11/18,86.1
7/11/18,60.95
7/12/18,66.8
7/12/18,65.55
7/12/18,5.7
7/13/18,10
7/13/18,31.3
7/13/18,41.7
7/14/18,76.35
7/14/18,26.8
7/15/18,42.95
7/15/18,80.2
7/20/18,24.95
7/21/18,92.85
7/24/18,72.9
7/28/18,86.85
7/29/18,15.55
8/2/18,40.65
8/4/18,90.1
8/5/18,47.3
8/5/18,52.55
8/7/18,6.15
8/8/18,66.45
8/8/18,37.6
8/11/18,59.15
8/11/18,45.9
8/12/18,8.3
8/14/18,66.35
8/16/18,28
8/18/18,20.8
8/19/18,11.1
8/19/18,34.85
8/21/18,66.45
8/22/18,40
8/23/18,69.9
8/24/18,13.75
8/27/18,9.1
8/30/18,18.85
8/31/18,65.5
9/4/18,47.5
9/10/18,32.65
9/14/18,56.75
9/14/18,13.2
9/16/18,92.95
9/25/18,22.2
9/25/18,87.45
9/26/18,90.95
9/30/18,74.2
10/5/18,17.6
10/10/18,93.35
10/10/18,72.15
10/11/18,96.75
10/13/18,13.4
10/15/18,67.15
10/20/18,1.95
10/21/18,1.5
10/22/18,27.75
10/25/18,35.55
10/25/18,33.75
10/27/18,42.75
10/30/18,45.15
11/5/18,22.65
11/5/18,78.55
11/6/18,48.2
11/7/18,39.75
11/8/18,67.9
11/8/18,41.1
11/11/18,81.5
11/12/18,43.15
11/12/18,9.1
11/15/18,95.75
11/16/18,24.5
11/16/18,4.3
11/17/18,47
11/18/18,36.35
11/19/18,81.15
11/19/18,75.35
11/20/18,90.05
11/22/18,69.3
11/23/18,29.35
11/25/18,14.35
11/30/18,19.2
12/1/18,83.1
12/3/18,23.6
12/8/18,47.8
12/9/18,60.95
12/10/18,56.25
12/13/18,16.8
12/17/18,21.8
12/18/18,89.3
12/23/18,84.3
12/24/18,20.45
12/24/18,34.55
12/26/18,47.85
12/27/18,2.35
12/28/18,59.15
12/29/18,28
12/30/18,86.05
1/3/19,33.1
1/7/19,73.7
1/7/19,46.45
1/9/19,87.3
1/12/19,81.65
1/15/19,23.7
1/18/19,78.85
1/25/19,46.95
1/26/19,92.5
1/26/19,69.6
1/30/19,38.65
1/31/19,0.7
1/31/19,71.05
2/1/19,83.05
2/2/19,39.7
2/4/19,64.8
2/5/19,99.3
2/6/19,60.1
2/7/19,31.1
2/7/19,69.7
2/11/19,48.15
2/13/19,62.65
2/14/19,19.75
2/14/19,14.25
2/16/19,14.15
2/16/19,68.9
2/16/19,76.5
2/16/19,99.8
2/18/19,10
2/20/19,33.3
2/21/19,15.2
2/21/19,29.9
2/21/19,11.95
2/23/19,30.9
2/25/19,67.4
2/27/19,40.8
3/1/19,21.95
3/2/19,56.05
3/3/19,60.8
3/3/19,31.65
3/3/19,50.9
3/3/19,3.3
3/3/19,53.05
3/4/19,25
3/6/19,74.15
3/9/19,87.55
3/11/19,59.35
3/12/19,49.15
3/12/19,65.05
3/14/19,24.75
3/15/19,86.85
3/16/19,3.35
3/20/19,14.6
3/20/19,32.65
3/20/19,14.4
3/23/19,25.25
3/25/19,11.6
3/25/19,84.15
3/27/19,62.45
4/5/19,22.25
4/5/19,84.5
4/5/19,6.8
4/9/19,6.8
4/9/19,61.35
4/9/19,61.8
4/11/19,78.05
4/13/19,14.05
4/13/19,35.7
4/18/19,13.95
4/20/19,15.75
4/24/19,67.2
4/24/19,30.75
4/26/19,24.4
4/27/19,51.65
4/28/19,58.7
4/29/19,14.5
4/29/19,34.4
4/30/19,93.45
4/30/19,3.75
5/1/19,70.25
5/6/19,93.6
5/6/19,38.2
5/6/19,3.95
5/7/19,69.2
5/8/19,60.7
5/9/19,45.85
5/16/19,7.25
5/20/19,38.1
5/20/19,8.3
5/22/19,75.75
5/23/19,30.2
5/23/19,58.7
5/23/19,55.95
5/24/19,61.45
5/25/19,35.35
5/27/19,45.15
5/28/19,92.45
5/28/19,10.9
6/1/19,67.3
6/1/19,7.55
6/2/19,15.3
6/3/19,77.9